,영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
56,미드나이트,https://www.kobis.or.kr/common/mast/movie/2021/06/b011b5f3d19c4599b64d2b51572dd11b.jpg,미드나이트.jpg,20198161,장편 | 일반영화 | 스릴러 | 103분 1초 | 15세이상관람가 | 한국,2D,[주연] 진기주(경미) | 위하준(도식) | 박훈(종탁) | 길해연(경미 엄마) | 김혜윤(소정)
57,웨이 백,https://www.kobis.or.kr/upload/up_img/2011/03/mov_H6FJ3G_20110311170515_1.jpg,웨이 백.jpg,20119419,장편 | 일반영화 | 드라마 | 133분 0초 | 12세이상관람가 | 미국,"필름,2D",[주연] 짐 스터게스(야누즈) | 콜린 파렐(발카) | 에드 해리스(미스터 스미스) | 시얼샤 로넌(이레나)
58,아마존의 눈물,https://www.kobis.or.kr/upload/up_img/cleansing/41/mov_20100141_7.jpg,아마존의 눈물.jpg,20100141,장편 | 예술영화 | 다큐멘터리 | 88분 0초 | 15세이상관람가 | 한국,"필름,2D",[주연] 김남길
59,더 시그널,https://www.kobis.or.kr/common/mast/movie/2014/07/a75550483f9c40f38c3f04f11392ec97.jpg,더 시그널.jpg,20149288,"장편 | 일반영화 | SF, 액션, 스릴러 | 94분 2초 | 12세이상관람가 | 미국","필름,2D",[주연] 브렌튼 스웨이츠 | 로렌스 피쉬번
60,공주와 개구리,https://www.kobis.or.kr/common/mast/movie/2011/12/7916577703704d3593920e854b726b72.jpg,공주와 개구리.jpg,20090850,"장편 | 일반영화 | 애니메이션, 멜로/로맨스 | 98분 0초 | 전체관람가 | 미국","필름,2D",[주연] 애니카 노니 로즈(티아나) | 브루노 캄포스(나빈왕자) | 키스 데이빗(닥터 파실리에)
61,바람이 분다,https://www.kobis.or.kr/common/mast/movie/2013/08/c653028be56640bc97a5cf3217d67331.jpg,바람이 분다.jpg,20132082,"장편 | 일반영화 | 애니메이션, 드라마 | 126분 35초 | 전체관람가 | 일본","필름,2D",[주연] 안노 히데아키(지로) | 타키모토 미오리(나호코)
62,니드 포 스피드,https://www.kobis.or.kr/common/mast/movie/2014/04/600d145e4c8e49f5bab5ba3bb92171bc.jpg,니드 포 스피드.jpg,20148232,"장편 | 일반영화 | 액션, 범죄, 드라마, 스릴러 | 130분 33초 | 15세이상관람가 | 미국","필름,2D,3D,4D",[주연] 아론 폴 | 도미닉 쿠퍼 | 이모겐 푸츠
63,미래의 미라이,https://www.kobis.or.kr/common/mast/movie/2018/12/aeb4bb3e9b7a454e8885cc23ae8c4d53.jpg,미래의 미라이.jpg,20182588,장편 | 일반영화 | 애니메이션 | 97분 51초 | 전체관람가 | 일본,2D,[주연] 쿠로키 하루 | 카미시라이시 모카 | 야쿠쇼 코지 | 후쿠야마 마사하루
64,라스트 엑소시즘,https://www.kobis.or.kr/upload/up_img/2011/03/mov_FE97C2_20110322141642_1.jpg,라스트 엑소시즘.jpg,20101140,"장편 | 일반영화 | 공포(호러), 스릴러 | 86분 0초 | 15세이상관람가 | 미국","필름,2D",[주연] 패트릭 파비언(코튼 마커스) | 애슐리 벨(넬 스위처) | 아이리스 바(아이리스 레이슨)
65,5백만불의 사나이,https://www.kobis.or.kr/common/mast/movie/2012/06/258c290159f34ff5b140f411c0f82243.jpg,5백만불의 사나이.jpg,20124058,장편 | 일반영화 | 코미디 | 107분 0초 | 15세이상관람가 | 한국,"필름,2D",[주연] 박진영(최영인) | 조성하(한 상무) | 민효린(미리)
