영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
인생은 아름다워,https://www.kobis.or.kr/common/mast/movie/2022/09/3a42c34d2c72428d849f8f485f1e791a.jpg,인생은 아름다워.jpg,20198317,장편 | 일반영화 | 뮤지컬 | 122분 25초 | 12세이상관람가 | 한국,"2D,4D",[주연] 류승룡(강진봉) | 염정아(오세연) | 박세완(여고생 세연) | 옹성우(정우)
건국전쟁,https://www.kobis.or.kr/common/mast/movie/2024/01/4836112d3a2448889296eb52729817b4.jpg,건국전쟁.jpg,20247074,장편 | 일반영화 | 다큐멘터리 | 100분 42초 | 12세이상관람가 | 한국,2D,
드림,https://www.kobis.or.kr/common/mast/movie/2023/04/882d5571550e4ef696bbb8c352c431fa.jpg,드림.jpg,20198482,"장편 | 일반영화 | 코미디, 드라마 | 125분 1초 | 12세이상관람가 | 한국",2D,[주연] 박서준(윤홍대) | 아이유(이소민)
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",https://www.kobis.or.kr/common/mast/movie/2022/12/c8d3fa881a854254842f9e63ca69b3e6.jpg,"오늘 밤, 세계에서 이 사랑이 사라진다 해도.jpg",20228313,장편 | 예술영화 | 멜로/로맨스 | 121분 21초 | 12세이상관람가 | 일본,2D,[주연] 미치에다 슌스케 | 후쿠모토 리코 | 후루카와 코토네 | 마츠모토 호노카
1947 보스톤,https://www.kobis.or.kr/common/mast/movie/2023/10/2c7bffbf5cd444f889d83c1af36d3fbd.jpg,1947 보스톤.jpg,20197122,장편 | 일반영화 | 드라마 | 108분 0초 | 12세이상관람가 | 한국,"2D,4D,IMAX,ScreenX",[주연] 하정우(손기정) | 임시완(서윤복)
비공식작전,https://www.kobis.or.kr/common/mast/movie/2023/08/745a5d6e9bd24074b86285c230d3e109.jpg,비공식작전.jpg,20193879,장편 | 일반영화 | 드라마 | 132분 11초 | 12세이상관람가 | 한국,2D,[주연] 하정우(민준) | 주지훈(판수)
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,https://www.kobis.or.kr/common/mast/movie/2023/12/4c85b28fcda242c6a4f93ff9091015f1.jpg,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~.jpg,20236146,장편 | 일반영화 | 애니메이션 | 94분 4초 | 전체관람가 | 일본,2D,
스파이더맨: 어크로스 더 유니버스,https://www.kobis.or.kr/common/mast/movie/2023/06/5d02668ff95e4b2f9694b7ff9ff666fc.jpg,스파이더맨- 어크로스 더 유니버스.jpg,20232180,장편 | 일반영화 | 애니메이션 | 139분 55초 | 전체관람가 | 미국,"2D,4D,IMAX,DOLBYCINEMA",[주연] 샤메익 무어 | 헤일리 스테인펠드 | 제이크 존슨 | 브라이언 타이리 헨리 | 오스카 아이삭
데시벨,https://www.kobis.or.kr/common/mast/movie/2022/11/f05bd85b36414a6fa0b27c359c738a10.jpg,데시벨.jpg,20217905,장편 | 일반영화 | 액션 | 109분 57초 | 12세이상관람가 | 한국,2D,[주연] 김래원(강도영) | 정상훈(오대오) | 이종석(전태성) | 박병은(차영한) | 신윤주(강설영)
정직한 후보2,https://www.kobis.or.kr/common/mast/movie/2022/09/d427a7ff2a66428cb8821764588a9690.jpg,정직한 후보2.jpg,20219628,장편 | 일반영화 | 코미디 | 106분 43초 | 12세이상관람가 | 한국,2D,[주연] 라미란(주상숙) | 김무열(박희철) | 윤경호(봉만식) | 서현우(조태주) | 박진주(봉만순)
