영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
오케이 마담,https://www.kobis.or.kr/common/mast/movie/2020/07/ddf5cf982ac54f808360353cb686c538.jpg,오케이 마담.jpg,20199883,"장편 | 일반영화 | 코미디, 액션 | 100분 28초 | 15세이상관람가 | 한국","2D,4D",[주연] 엄정화(이미영) | 박성웅(오석환) | 이상윤(리철승) | 배정남(정현민 ) | 이선빈(안세라)
심야의 F.M.,https://www.kobis.or.kr/upload/up_img/cleansing/02/mov_20100302_9.jpg,심야의 F.M..jpg,20100302,"장편 | 일반영화 | 스릴러, 범죄 | 106분 0초 | 청소년관람불가 | 한국","필름,2D,4D","[주연] 수애(DJ, 고선영) | 유지태(청취자, 한동수) | 김윤태(방문 경찰1 )"
특별수사: 사형수의 편지,https://www.kobis.or.kr/common/mast/movie/2016/06/11cc52c6ea89415cab2b397022268e5c.jpg,특별수사- 사형수의 편지.jpg,20159645,"장편 | 일반영화 | 범죄, 드라마 | 120분 14초 | 15세이상관람가 | 한국",2D,[주연] 김명민(최필재) | 김상호(권순태) | 성동일(김판수)
찌라시: 위험한 소문,https://www.kobis.or.kr/common/mast/movie/2014/02/3d52723d86e3449085eb851ec4c18376.jpg,찌라시- 위험한 소문.jpg,20139401,"장편 | 일반영화 | 범죄, 드라마 | 121분 19초 | 15세이상관람가 | 한국","필름,2D",[주연] 김강우 | 고창석 | 박성웅(차성주) | 정진영(박사장)
토탈 리콜,https://www.kobis.or.kr/common/mast/movie/2012/08/2fbd41638c634e698f8949e7908c3128.jpg,토탈 리콜.jpg,20125647,"장편 | 일반영화 | SF, 액션 | 118분 0초 | 15세이상관람가 | 미국, 캐나다","필름,2D,IMAX",[주연] 콜린 파렐(더그 퀘이드) | 케이트 베킨세일(로리) | 제시카 비엘
결혼전야,https://www.kobis.or.kr/common/mast/movie/2013/10/1ba4eb46e8144bad813bf48968139cdb.jpg,결혼전야.jpg,20136061,"장편 | 일반영화 | 멜로/로맨스, 코미디 | 117분 37초 | 15세이상관람가 | 한국","필름,2D",[주연] 김강우 | 김효진(주영 ) | 주지훈 | 이연희 | 옥택연 | 마동석 | 구잘 투르수노바 | 이희준(대복) | 고준희
해치지않아,https://www.kobis.or.kr/common/mast/movie/2019/12/da52c18e12e642669978fbd45469b1d7.jpg,해치지않아.jpg,20183002,장편 | 일반영화 | 코미디 | 117분 29초 | 12세이상관람가 | 한국,2D,[주연] 안재홍(강태수) | 강소라(한소원) | 박영규(서 원장) | 김성오(김건욱) | 전여빈(김해경) | 박혁권(황대표) | 김용각(보조출연팀장) | 손지영(보조출연팀장)
레지던트 이블 4: 끝나지 않은 전쟁 3D,https://www.kobis.or.kr/upload/up_img/cleansing/11/mov_20100811_3.jpg,레지던트 이블 4- 끝나지 않은 전쟁 3D.jpg,20100811,"장편 | 일반영화 | 공포(호러), 스릴러, 액션 | 96분 0초 | 청소년관람불가 | 독일, 미국, 영국","필름,2D,3D,4D,IMAX",[주연] 밀라 요보비치
엘리시움,https://www.kobis.or.kr/common/mast/movie/2013/08/ff6a89d954f54cf7baeb46fb43a2edde.jpg,엘리시움.jpg,20137811,"장편 | 일반영화 | SF, 액션 | 109분 24초 | 청소년관람불가 | 미국","필름,2D,IMAX",[주연] 맷 데이먼(맥스 드 코스타) | 조디 포스터(로데스) | 샬토 코플리(크루거) | 윌리엄 피츠너(존 칼라일)
악녀,https://www.kobis.or.kr/common/mast/movie/2017/05/d6f8002d1f7d4c78bfa714ebcb609b7a.jpg,악녀.jpg,20162343,장편 | 일반영화 | 액션 | 123분 22초 | 청소년관람불가 | 한국,2D,[주연] 김옥빈(숙희) | 신하균(중상) | 성준(현수) | 김서형(권숙) | 조은지(김선)
